V1	V2	X	X.1	X.2	we
SPRR2G	SPRR2G	     6706.3	     6706.4	2.40e-01	1.82646e-05
PLD3	PLD3	    23646.3	    23646.4	2.40e-01	1.82646e-05
NSUN4	NSUN4	   387338.3	   387338.4	2.40e-01	1.82646e-05
ATG16L1	ATG16L1	    55054.3	    55054.4	2.40e-01	1.82646e-05
MGAT4C	MGAT4C	    25834.3	    25834.4	2.40e-01	1.82646e-05
WDR63	WDR63	   126820.3	   126820.4	2.40e-01	1.82646e-05
KRT76	KRT76	    51350.3	    51350.4	2.40e-01	1.82646e-05
PTPMT1	PTPMT1	   114971.3	   114971.4	2.40e-01	1.82646e-05
FLG2	FLG2	   388698.3	   388698.4	2.41e-01	1.82646e-05
GPRASP2	GPRASP2	   114928.3	   114928.4	2.41e-01	1.82646e-05
SIGLEC8	SIGLEC8	    27181.3	    27181.4	2.41e-01	1.82646e-05
LMBRD1	LMBRD1	    55788.3	    55788.4	2.41e-01	1.82646e-05
PRG3	PRG3	    10394.3	    10394.4	2.41e-01	1.82646e-05
COL6A2	COL6A2	     1292.3	     1292.4	2.41e-01	1.82646e-05
BCL9	BCL9	      607.3	      607.4	2.41e-01	1.82646e-05
LRP4	LRP4	     4038.3	     4038.4	2.42e-01	1.82646e-05
SUPT16H	SUPT16H	    11198.3	    11198.4	2.42e-01	1.82646e-05
SPINK14	SPINK14	   408187.3	   408187.4	2.42e-01	1.82646e-05
RPLP0	RPLP0	     6175.3	     6175.4	2.42e-01	1.82646e-05
GTF3C2	GTF3C2	     2976.3	     2976.4	2.42e-01	1.82646e-05
SIRT4	SIRT4	    23409.3	    23409.4	2.42e-01	1.82646e-05
SYS1	SYS1	    90196.3	    90196.4	2.42e-01	1.82646e-05
SBF2	SBF2	    81846.3	    81846.4	2.43e-01	1.82646e-05
REG4	REG4	    83998.3	    83998.4	2.43e-01	1.82646e-05
MMS22L	MMS22L	   253714.3	   253714.4	2.43e-01	1.82646e-05
TMEM176A	TMEM176A	    55365.3	    55365.4	2.43e-01	1.82646e-05
BROX	BROX	   148362.3	   148362.4	2.43e-01	1.82646e-05
SEMA5B	SEMA5B	    54437.3	    54437.4	2.43e-01	1.82646e-05
EFCC1	EFCC1	    79825.3	    79825.4	2.43e-01	1.82646e-05
RAD1	RAD1	     5810.3	     5810.4	2.43e-01	1.82646e-05
KCTD20	KCTD20	   222658.3	   222658.4	2.44e-01	1.82646e-05
CXorf58	CXorf58	   254158.3	   254158.4	2.44e-01	1.82646e-05
PSG9	PSG9	     5678.3	     5678.4	2.44e-01	1.82646e-05
CSAD	CSAD	    51380.3	    51380.4	2.44e-01	1.82646e-05
EZH1	EZH1	     2145.3	     2145.4	2.44e-01	1.82646e-05
PADI3	PADI3	    51702.3	    51702.4	2.44e-01	1.82646e-05
EML2	EML2	    24139.3	    24139.4	2.44e-01	1.82646e-05
CEP152	CEP152	    22995.3	    22995.4	2.44e-01	1.82646e-05
PI4K2A	PI4K2A	    55361.3	    55361.4	2.44e-01	1.82646e-05
C14orf93	C14orf93	    60686.3	    60686.4	2.44e-01	1.82646e-05
ARL5B	ARL5B	   221079.3	   221079.4	2.44e-01	1.82646e-05
SRP72	SRP72	     6731.3	     6731.4	2.44e-01	1.82646e-05
OR6K6	OR6K6	   128371.3	   128371.4	2.44e-01	1.82646e-05
CCL3	CCL3	     6348.3	     6348.4	2.44e-01	1.82646e-05
SDHAF2	SDHAF2	    54949.3	    54949.4	2.45e-01	1.82646e-05
CAPNS1	CAPNS1	      826.3	      826.4	2.45e-01	1.82646e-05
TULP3	TULP3	     7289.3	     7289.4	2.45e-01	1.82646e-05
DAB2IP	DAB2IP	   153090.3	   153090.4	2.45e-01	1.82646e-05
EFEMP1	EFEMP1	     2202.3	     2202.4	2.45e-01	1.82646e-05
OR5K1	OR5K1	    26339.3	    26339.4	2.45e-01	1.82646e-05
LSAMP	LSAMP	     4045.3	     4045.4	2.45e-01	1.82646e-05
CREG2	CREG2	   200407.3	   200407.4	2.45e-01	1.82646e-05
DFFB	DFFB	     1677.3	     1677.4	2.46e-01	1.82646e-05
FLAD1	FLAD1	    80308.3	    80308.4	2.46e-01	1.82646e-05
KIF1C	KIF1C	    10749.3	    10749.4	2.46e-01	1.82646e-05
KIAA1551	KIAA1551	    55196.3	    55196.4	2.46e-01	1.82646e-05
TDRD1	TDRD1	    56165.3	    56165.4	2.46e-01	1.82646e-05
CTRL	CTRL	     1506.3	     1506.4	2.46e-01	1.82646e-05
MID1IP1	MID1IP1	    58526.3	    58526.4	2.46e-01	1.82646e-05
LCAT	LCAT	     3931.3	     3931.4	2.46e-01	1.82646e-05
GSTZ1	GSTZ1	     2954.3	     2954.4	2.46e-01	1.82646e-05
SESN2	SESN2	    83667.3	    83667.4	2.46e-01	1.82646e-05
LGALS4	LGALS4	     3960.3	     3960.4	2.46e-01	1.82646e-05
PXMP4	PXMP4	    11264.3	    11264.4	2.46e-01	1.82646e-05
IRAK1BP1	IRAK1BP1	   134728.3	   134728.4	2.46e-01	1.82646e-05
NVL	NVL	     4931.3	     4931.4	2.46e-01	1.82646e-05
CAV1	CAV1	      857.3	      857.4	2.47e-01	1.82646e-05
PDGFC	PDGFC	    56034.3	    56034.4	2.47e-01	1.82646e-05
FCN3	FCN3	     8547.3	     8547.4	2.47e-01	1.82646e-05
KRT34	KRT34	     3885.3	     3885.4	2.47e-01	1.82646e-05
SYVN1	SYVN1	    84447.3	    84447.4	2.47e-01	1.82646e-05
TLN1	TLN1	     7094.3	     7094.4	2.47e-01	1.82646e-05
PGBD5	PGBD5	    79605.3	    79605.4	2.47e-01	1.82646e-05
RFX7	RFX7	    64864.3	    64864.4	2.47e-01	1.82646e-05
CHM	CHM	     1121.3	     1121.4	2.47e-01	1.82646e-05
GPR61	GPR61	    83873.3	    83873.4	2.47e-01	1.82646e-05
NET1	NET1	    10276.3	    10276.4	2.48e-01	1.82646e-05
MRPL46	MRPL46	    26589.3	    26589.4	2.48e-01	1.82646e-05
CYP2B6	CYP2B6	     1555.3	     1555.4	2.48e-01	1.82646e-05
SMPD2	SMPD2	     6610.3	     6610.4	2.48e-01	1.82646e-05
DDX60L	DDX60L	    91351.3	    91351.4	2.48e-01	1.82646e-05
ABCC1	ABCC1	     4363.3	     4363.4	2.48e-01	1.82646e-05
TRIM46	TRIM46	    80128.3	    80128.4	2.48e-01	1.82646e-05
HAUS8	HAUS8	    93323.3	    93323.4	2.49e-01	1.82646e-05
OR2AE1	OR2AE1	    81392.3	    81392.4	2.49e-01	1.82646e-05
HELB	HELB	    92797.3	    92797.4	2.49e-01	1.82646e-05
ENTPD6	ENTPD6	      955.3	      955.4	2.49e-01	1.82646e-05
NBAS	NBAS	    51594.3	    51594.4	2.49e-01	1.82646e-05
SLC43A1	SLC43A1	     8501.3	     8501.4	2.50e-01	1.82646e-05
NOP2	NOP2	     4839.3	     4839.4	2.50e-01	1.82646e-05
TPPP	TPPP	    11076.3	    11076.4	2.50e-01	1.82646e-05
ATP13A4	ATP13A4	    84239.3	    84239.4	2.50e-01	1.82646e-05
TPT1	TPT1	     7178.3	     7178.4	2.50e-01	1.82646e-05
VAT1L	VAT1L	    57687.3	    57687.4	2.50e-01	1.82646e-05
DDB1	DDB1	     1642.3	     1642.4	2.50e-01	1.82646e-05
NCAN	NCAN	     1463.3	     1463.4	2.50e-01	1.82646e-05
PTPN23	PTPN23	    25930.3	    25930.4	2.50e-01	1.82646e-05
TTC27	TTC27	    55622.3	    55622.4	2.50e-01	1.82646e-05
COL28A1	COL28A1	   340267.3	   340267.4	2.50e-01	1.82646e-05
C8orf33	C8orf33	    65265.3	    65265.4	2.51e-01	1.82646e-05
ARMC4	ARMC4	    55130.3	    55130.4	2.51e-01	1.82646e-05
SIRPG	SIRPG	    55423.3	    55423.4	2.51e-01	1.82646e-05
STMN3	STMN3	    50861.3	    50861.4	2.51e-01	1.82646e-05
PIK3R4	PIK3R4	    30849.3	    30849.4	2.51e-01	1.82646e-05
OCM	OCM	   654231.3	   654231.4	2.51e-01	1.82646e-05
FZD4	FZD4	     8322.3	     8322.4	2.51e-01	1.82646e-05
NBN	NBN	     4683.3	     4683.4	2.51e-01	1.82646e-05
S100A3	S100A3	     6274.3	     6274.4	2.51e-01	1.82646e-05
MBTPS1	MBTPS1	     8720.3	     8720.4	2.51e-01	1.82646e-05
LRRC3	LRRC3	    81543.3	    81543.4	2.51e-01	1.82646e-05
CADM2	CADM2	   253559.3	   253559.4	2.51e-01	1.82646e-05
RPS27	RPS27	     6232.3	     6232.4	2.51e-01	1.82646e-05
UBE2M	UBE2M	     9040.3	     9040.4	2.51e-01	1.82646e-05
RORA	RORA	     6095.3	     6095.4	2.52e-01	1.82646e-05
C5orf38	C5orf38	   153571.3	   153571.4	2.52e-01	1.82646e-05
NPC1L1	NPC1L1	    29881.3	    29881.4	2.52e-01	1.82646e-05
RNF148	RNF148	   378925.3	   378925.4	2.52e-01	1.82646e-05
PDCD7	PDCD7	    10081.3	    10081.4	2.52e-01	1.82646e-05
INPPL1	INPPL1	     3636.3	     3636.4	2.52e-01	1.82646e-05
OR2B11	OR2B11	   127623.3	   127623.4	2.52e-01	1.82646e-05
LAMA3	LAMA3	     3909.3	     3909.4	2.52e-01	1.82646e-05
AQP6	AQP6	      363.3	      363.4	2.52e-01	1.82646e-05
FAM163A	FAM163A	   148753.3	   148753.4	2.53e-01	1.82646e-05
LACTB2	LACTB2	    51110.3	    51110.4	2.53e-01	1.82646e-05
HIST1H4B	HIST1H4B	     8366.3	     8366.4	2.53e-01	1.82646e-05
AKAP2	AKAP2	    11217.3	    11217.4	2.53e-01	1.82646e-05
DGAT2L6	DGAT2L6	   347516.3	   347516.4	2.53e-01	1.82646e-05
ZNF20	ZNF20	     7568.3	     7568.4	2.53e-01	1.82646e-05
ZNF354A	ZNF354A	     6940.3	     6940.4	2.53e-01	1.82646e-05
FLYWCH2	FLYWCH2	   114984.3	   114984.4	2.53e-01	1.82646e-05
DMBX1	DMBX1	   127343.3	   127343.4	2.53e-01	1.82646e-05
CXorf36	CXorf36	    79742.3	    79742.4	2.53e-01	1.82646e-05
MAP3K15	MAP3K15	   389840.3	   389840.4	2.53e-01	1.82646e-05
MEF2D	MEF2D	     4209.3	     4209.4	2.53e-01	1.82646e-05
NIPAL4	NIPAL4	   348938.3	   348938.4	2.53e-01	1.82646e-05
SSRP1	SSRP1	     6749.3	     6749.4	2.54e-01	1.82646e-05
PDGFB	PDGFB	     5155.3	     5155.4	2.54e-01	1.82646e-05
SGK3	SGK3	    23678.3	    23678.4	2.54e-01	1.82646e-05
ANO5	ANO5	   203859.3	   203859.4	2.54e-01	1.82646e-05
SCN3A	SCN3A	     6328.3	     6328.4	2.54e-01	1.82646e-05
CTC1	CTC1	    80169.3	    80169.4	2.54e-01	1.82646e-05
NDUFA2	NDUFA2	     4695.3	     4695.4	2.54e-01	1.82646e-05
SEC22A	SEC22A	    26984.3	    26984.4	2.54e-01	1.82646e-05
HGD	HGD	     3081.3	     3081.4	2.55e-01	1.82646e-05
REPS1	REPS1	    85021.3	    85021.4	2.55e-01	1.82646e-05
THSD7B	THSD7B	    80731.3	    80731.4	2.55e-01	1.82646e-05
ZC3H7A	ZC3H7A	    29066.3	    29066.4	2.55e-01	1.82646e-05
PDCD2L	PDCD2L	    84306.3	    84306.4	2.55e-01	1.82646e-05
NFYC	NFYC	     4802.3	     4802.4	2.55e-01	1.82646e-05
CNGA4	CNGA4	     1262.3	     1262.4	2.55e-01	1.82646e-05
RAB14	RAB14	    51552.3	    51552.4	2.55e-01	1.82646e-05
SEC14L4	SEC14L4	   284904.3	   284904.4	2.55e-01	1.82646e-05
MAN1A1	MAN1A1	     4121.3	     4121.4	2.55e-01	1.82646e-05
TP53BP1	TP53BP1	     7158.3	     7158.4	2.56e-01	1.82646e-05
OR4Q3	OR4Q3	   441669.3	   441669.4	2.56e-01	1.82646e-05
KLF9	KLF9	      687.3	      687.4	2.56e-01	1.82646e-05
NDN	NDN	     4692.3	     4692.4	2.56e-01	1.82646e-05
DEFB119	DEFB119	   245932.3	   245932.4	2.56e-01	1.82646e-05
SNF8	SNF8	    11267.3	    11267.4	2.56e-01	1.82646e-05
N4BP3	N4BP3	    23138.3	    23138.4	2.56e-01	1.82646e-05
VPS54	VPS54	    51542.3	    51542.4	2.56e-01	1.82646e-05
PRR12	PRR12	    57479.3	    57479.4	2.56e-01	1.82646e-05
KRTAP1-1	KRTAP1-1	    81851.3	    81851.4	2.57e-01	1.82646e-05
ARFGAP2	ARFGAP2	    84364.3	    84364.4	2.57e-01	1.82646e-05
AMPD1	AMPD1	      270.3	      270.4	2.57e-01	1.82646e-05
KIF5C	KIF5C	     3800.3	     3800.4	2.57e-01	1.82646e-05
MRPL3	MRPL3	    11222.3	    11222.4	2.57e-01	1.82646e-05
TRMT13	TRMT13	    54482.3	    54482.4	2.58e-01	1.82646e-05
CMPK2	CMPK2	   129607.3	   129607.4	2.58e-01	1.82646e-05
APOL6	APOL6	    80830.3	    80830.4	2.58e-01	1.82646e-05
MEOX1	MEOX1	     4222.3	     4222.4	2.59e-01	1.82646e-05
RMND1	RMND1	    55005.3	    55005.4	2.59e-01	1.82646e-05
SHQ1	SHQ1	    55164.3	    55164.4	2.59e-01	1.82646e-05
VWA3A	VWA3A	   146177.3	   146177.4	2.59e-01	1.82646e-05
PDCD6	PDCD6	    10016.3	    10016.4	2.59e-01	1.82646e-05
PNPLA5	PNPLA5	   150379.3	   150379.4	2.59e-01	1.82646e-05
PFN4	PFN4	   375189.3	   375189.4	2.59e-01	1.82646e-05
TEX2	TEX2	    55852.3	    55852.4	2.60e-01	1.82646e-05
HEG1	HEG1	    57493.3	    57493.4	2.60e-01	1.82646e-05
LY96	LY96	    23643.3	    23643.4	2.60e-01	1.82646e-05
ZNF468	ZNF468	    90333.3	    90333.4	2.60e-01	1.82646e-05
CRYGS	CRYGS	     1427.3	     1427.4	2.60e-01	1.82646e-05
ELOVL3	ELOVL3	    83401.3	    83401.4	2.60e-01	1.82646e-05
CXCL6	CXCL6	     6372.3	     6372.4	2.60e-01	1.82646e-05
ITGAV	ITGAV	     3685.3	     3685.4	2.60e-01	1.82646e-05
DLK1	DLK1	     8788.3	     8788.4	2.61e-01	1.82646e-05
NR1I2	NR1I2	     8856.3	     8856.4	2.61e-01	1.82646e-05
HNRNPL	HNRNPL	     3191.3	     3191.4	2.61e-01	1.82646e-05
DAPL1	DAPL1	    92196.3	    92196.4	2.61e-01	1.82646e-05
OR4C15	OR4C15	    81309.3	    81309.4	2.61e-01	1.82646e-05
ACAD10	ACAD10	    80724.3	    80724.4	2.62e-01	1.82646e-05
CNPY4	CNPY4	   245812.3	   245812.4	2.62e-01	1.82646e-05
ATP11C	ATP11C	   286410.3	   286410.4	2.62e-01	1.82646e-05
HIST1H4D	HIST1H4D	     8360.3	     8360.4	2.62e-01	1.82646e-05
R3HDML	R3HDML	   140902.3	   140902.4	2.62e-01	1.82646e-05
EP300	EP300	     2033.3	     2033.4	2.62e-01	1.82646e-05
TOPORS	TOPORS	    10210.3	    10210.4	2.62e-01	1.82646e-05
GORAB	GORAB	    92344.3	    92344.4	2.62e-01	1.82646e-05
ETV6	ETV6	     2120.3	     2120.4	2.62e-01	1.82646e-05
ARGFX	ARGFX	   503582.3	   503582.4	2.62e-01	1.82646e-05
PCDH8	PCDH8	     5100.3	     5100.4	2.63e-01	1.82646e-05
DGCR6L	DGCR6L	    85359.3	    85359.4	2.63e-01	1.82646e-05
BRIX1	BRIX1	    55299.3	    55299.4	2.63e-01	1.82646e-05
KDM8	KDM8	    79831.3	    79831.4	2.63e-01	1.82646e-05
GPAM	GPAM	    57678.3	    57678.4	2.63e-01	1.82646e-05
RAG1	RAG1	     5896.3	     5896.4	2.63e-01	1.82646e-05
DKKL1	DKKL1	    27120.3	    27120.4	2.63e-01	1.82646e-05
BOD1	BOD1	    91272.3	    91272.4	2.63e-01	1.82646e-05
WFDC1	WFDC1	    58189.3	    58189.4	2.63e-01	1.82646e-05
NR0B2	NR0B2	     8431.3	     8431.4	2.63e-01	1.82646e-05
SNRPB2	SNRPB2	     6629.3	     6629.4	2.63e-01	1.82646e-05
MAPK1IP1L	MAPK1IP1L	    93487.3	    93487.4	2.64e-01	1.82646e-05
OR2A2	OR2A2	   442361.3	   442361.4	2.64e-01	1.82646e-05
DCAF4L2	DCAF4L2	   138009.3	   138009.4	2.64e-01	1.82646e-05
GPS2	GPS2	     2874.3	     2874.4	2.64e-01	1.82646e-05
ZNF709	ZNF709	   163051.3	   163051.4	2.64e-01	1.82646e-05
STK17A	STK17A	     9263.3	     9263.4	2.64e-01	1.82646e-05
CXCL13	CXCL13	    10563.3	    10563.4	2.64e-01	1.82646e-05
GLRX5	GLRX5	    51218.3	    51218.4	2.65e-01	1.82646e-05
HELT	HELT	   391723.3	   391723.4	2.65e-01	1.82646e-05
ACAD8	ACAD8	    27034.3	    27034.4	2.65e-01	1.82646e-05
NR3C2	NR3C2	     4306.3	     4306.4	2.65e-01	1.82646e-05
TMEM165	TMEM165	    55858.3	    55858.4	2.65e-01	1.82646e-05
THBD	THBD	     7056.3	     7056.4	2.65e-01	1.82646e-05
DNAH1	DNAH1	    25981.3	    25981.4	2.65e-01	1.82646e-05
FAM90A1	FAM90A1	    55138.3	    55138.4	2.65e-01	1.82646e-05
UBE2K	UBE2K	     3093.3	     3093.4	2.65e-01	1.82646e-05
SPINK4	SPINK4	    27290.3	    27290.4	2.65e-01	1.82646e-05
SEPSECS	SEPSECS	    51091.3	    51091.4	2.66e-01	1.82646e-05
FAM131C	FAM131C	   348487.3	   348487.4	2.66e-01	1.82646e-05
OSER1	OSER1	    51526.3	    51526.4	2.66e-01	1.82646e-05
TMF1	TMF1	     7110.3	     7110.4	2.66e-01	1.82646e-05
CILP	CILP	     8483.3	     8483.4	2.66e-01	1.82646e-05
MACC1	MACC1	   346389.3	   346389.4	2.66e-01	1.82646e-05
ZNF141	ZNF141	     7700.3	     7700.4	2.66e-01	1.82646e-05
MAD2L2	MAD2L2	    10459.3	    10459.4	2.66e-01	1.82646e-05
CENPA	CENPA	     1058.3	     1058.4	2.66e-01	1.82646e-05
DHRS4	DHRS4	    10901.3	    10901.4	2.66e-01	1.82646e-05
TMX2	TMX2	    51075.3	    51075.4	2.66e-01	1.82646e-05
GRM4	GRM4	     2914.3	     2914.4	2.67e-01	1.82646e-05
CARD11	CARD11	    84433.3	    84433.4	2.67e-01	1.82646e-05
HIST1H3D	HIST1H3D	     8351.3	     8351.4	2.67e-01	1.82646e-05
SLC35B2	SLC35B2	   347734.3	   347734.4	2.67e-01	1.82646e-05
EFR3A	EFR3A	    23167.3	    23167.4	2.67e-01	1.82646e-05
LMAN2L	LMAN2L	    81562.3	    81562.4	2.67e-01	1.82646e-05
TMEM14C	TMEM14C	    51522.3	    51522.4	2.68e-01	1.82646e-05
PLA2G12B	PLA2G12B	    84647.3	    84647.4	2.68e-01	1.82646e-05
KLF5	KLF5	      688.3	      688.4	2.68e-01	1.82646e-05
CFTR	CFTR	     1080.3	     1080.4	2.68e-01	1.82646e-05
ACER3	ACER3	    55331.3	    55331.4	2.68e-01	1.82646e-05
SHBG	SHBG	     6462.3	     6462.4	2.68e-01	1.82646e-05
FRA10AC1	FRA10AC1	   118924.3	   118924.4	2.69e-01	1.82646e-05
EIF3D	EIF3D	     8664.3	     8664.4	2.69e-01	1.82646e-05
FBXO38	FBXO38	    81545.3	    81545.4	2.69e-01	1.82646e-05
TGFA	TGFA	     7039.3	     7039.4	2.69e-01	1.82646e-05
CEP70	CEP70	    80321.3	    80321.4	2.69e-01	1.82646e-05
GUCA2B	GUCA2B	     2981.3	     2981.4	2.69e-01	1.82646e-05
TMTC4	TMTC4	    84899.3	    84899.4	2.69e-01	1.82646e-05
ANAPC4	ANAPC4	    29945.3	    29945.4	2.70e-01	1.82646e-05
SCEL	SCEL	     8796.3	     8796.4	2.70e-01	1.82646e-05
RPS6	RPS6	     6194.3	     6194.4	2.70e-01	1.82646e-05
IL20RA	IL20RA	    53832.3	    53832.4	2.70e-01	1.82646e-05
GALNT1	GALNT1	     2589.3	     2589.4	2.70e-01	1.82646e-05
HP1BP3	HP1BP3	    50809.3	    50809.4	2.70e-01	1.82646e-05
HEBP1	HEBP1	    50865.3	    50865.4	2.70e-01	1.82646e-05
ZNF627	ZNF627	   199692.3	   199692.4	2.70e-01	1.82646e-05
EDEM1	EDEM1	     9695.3	     9695.4	2.70e-01	1.82646e-05
SLC33A1	SLC33A1	     9197.3	     9197.4	2.70e-01	1.82646e-05
KIAA1191	KIAA1191	    57179.3	    57179.4	2.70e-01	1.82646e-05
TLR9	TLR9	    54106.3	    54106.4	2.70e-01	1.82646e-05
SCAF11	SCAF11	     9169.3	     9169.4	2.71e-01	1.82646e-05
AKNAD1	AKNAD1	   254268.3	   254268.4	2.71e-01	1.82646e-05
CCT5	CCT5	    22948.3	    22948.4	2.71e-01	1.82646e-05
CFL2	CFL2	     1073.3	     1073.4	2.71e-01	1.82646e-05
SNRK	SNRK	    54861.3	    54861.4	2.71e-01	1.82646e-05
SLC25A52	SLC25A52	   147407.3	   147407.4	2.71e-01	1.82646e-05
LCK	LCK	     3932.3	     3932.4	2.71e-01	1.82646e-05
FLT1	FLT1	     2321.3	     2321.4	2.71e-01	1.82646e-05
RING1	RING1	     6015.3	     6015.4	2.71e-01	1.82646e-05
KTN1	KTN1	     3895.3	     3895.4	2.71e-01	1.82646e-05
SLC5A4	SLC5A4	     6527.3	     6527.4	2.71e-01	1.82646e-05
SGSM1	SGSM1	   129049.3	   129049.4	2.71e-01	1.82646e-05
C5orf51	C5orf51	   285636.3	   285636.4	2.72e-01	1.82646e-05
ADCY4	ADCY4	   196883.3	   196883.4	2.72e-01	1.82646e-05
L3MBTL4	L3MBTL4	    91133.3	    91133.4	2.72e-01	1.82646e-05
ATXN7L3	ATXN7L3	    56970.3	    56970.4	2.72e-01	1.82646e-05
EIF2B5	EIF2B5	     8893.3	     8893.4	2.72e-01	1.82646e-05
VPREB3	VPREB3	    29802.3	    29802.4	2.72e-01	1.82646e-05
ODC1	ODC1	     4953.3	     4953.4	2.72e-01	1.82646e-05
LRP1	LRP1	     4035.3	     4035.4	2.72e-01	1.82646e-05
SLITRK4	SLITRK4	   139065.3	   139065.4	2.73e-01	1.82646e-05
BMF	BMF	    90427.3	    90427.4	2.73e-01	1.82646e-05
ANG	ANG	      283.3	      283.4	2.73e-01	1.82646e-05
TMCO6	TMCO6	    55374.3	    55374.4	2.73e-01	1.82646e-05
FAM135A	FAM135A	    57579.3	    57579.4	2.73e-01	1.82646e-05
CXCL1	CXCL1	     2919.3	     2919.4	2.73e-01	1.82646e-05
C1orf131	C1orf131	   128061.3	   128061.4	2.73e-01	1.82646e-05
TMEM132D	TMEM132D	   121256.3	   121256.4	2.73e-01	1.82646e-05
ERCC5	ERCC5	     2073.3	     2073.4	2.73e-01	1.82646e-05
CCDC3	CCDC3	    83643.3	    83643.4	2.73e-01	1.82646e-05
CCDC6	CCDC6	     8030.3	     8030.4	2.74e-01	1.82646e-05
ADRB2	ADRB2	      154.3	      154.4	2.74e-01	1.82646e-05
SLC22A11	SLC22A11	    55867.3	    55867.4	2.74e-01	1.82646e-05
NF2	NF2	     4771.3	     4771.4	2.74e-01	1.82646e-05
OR1A2	OR1A2	    26189.3	    26189.4	2.74e-01	1.82646e-05
IL12RB2	IL12RB2	     3595.3	     3595.4	2.74e-01	1.82646e-05
BRD9	BRD9	    65980.3	    65980.4	2.74e-01	1.82646e-05
TMEM61	TMEM61	   199964.3	   199964.4	2.74e-01	1.82646e-05
SPRR2F	SPRR2F	     6705.3	     6705.4	2.74e-01	1.82646e-05
GHDC	GHDC	    84514.3	    84514.4	2.74e-01	1.82646e-05
ISLR2	ISLR2	    57611.3	    57611.4	2.74e-01	1.82646e-05
OLFML3	OLFML3	    56944.3	    56944.4	2.74e-01	1.82646e-05
ADAMTS18	ADAMTS18	   170692.3	   170692.4	2.74e-01	1.82646e-05
OR52N1	OR52N1	    79473.3	    79473.4	2.75e-01	1.82646e-05
SDC4	SDC4	     6385.3	     6385.4	2.75e-01	1.82646e-05
REPIN1	REPIN1	    29803.3	    29803.4	2.75e-01	1.82646e-05
RPL27	RPL27	     6155.3	     6155.4	2.75e-01	1.82646e-05
ANGPT4	ANGPT4	    51378.3	    51378.4	2.75e-01	1.82646e-05
NUTF2	NUTF2	    10204.3	    10204.4	2.75e-01	1.82646e-05
RPS7	RPS7	     6201.3	     6201.4	2.75e-01	1.82646e-05
DUOXA1	DUOXA1	    90527.3	    90527.4	2.76e-01	1.82646e-05
GDPGP1	GDPGP1	   390637.3	   390637.4	2.76e-01	1.82646e-05
CERS4	CERS4	    79603.3	    79603.4	2.76e-01	1.82646e-05
RPS6KA1	RPS6KA1	     6195.3	     6195.4	2.76e-01	1.82646e-05
BBS2	BBS2	      583.3	      583.4	2.76e-01	1.82646e-05
SNX11	SNX11	    29916.3	    29916.4	2.76e-01	1.82646e-05
TNNC2	TNNC2	     7125.3	     7125.4	2.76e-01	1.82646e-05
PMVK	PMVK	    10654.3	    10654.4	2.77e-01	1.82646e-05
MFSD5	MFSD5	    84975.3	    84975.4	2.77e-01	1.82646e-05
TMEM26	TMEM26	   219623.3	   219623.4	2.77e-01	1.82646e-05
ATF3	ATF3	      467.3	      467.4	2.77e-01	1.82646e-05
CHIT1	CHIT1	     1118.3	     1118.4	2.77e-01	1.82646e-05
RPL21	RPL21	     6144.3	     6144.4	2.77e-01	1.82646e-05
ZNF281	ZNF281	    23528.3	    23528.4	2.77e-01	1.82646e-05
EIF4G3	EIF4G3	     8672.3	     8672.4	2.77e-01	1.82646e-05
GYS2	GYS2	     2998.3	     2998.4	2.77e-01	1.82646e-05
INSIG2	INSIG2	    51141.3	    51141.4	2.77e-01	1.82646e-05
HEMK1	HEMK1	    51409.3	    51409.4	2.77e-01	1.82646e-05
ENPP6	ENPP6	   133121.3	   133121.4	2.77e-01	1.82646e-05
ASPM	ASPM	   259266.3	   259266.4	2.78e-01	1.82646e-05
CTNND1	CTNND1	     1500.3	     1500.4	2.78e-01	1.82646e-05
EVA1C	EVA1C	    59271.3	    59271.4	2.78e-01	1.82646e-05
THOC6	THOC6	    79228.3	    79228.4	2.78e-01	1.82646e-05
TMPRSS6	TMPRSS6	   164656.3	   164656.4	2.78e-01	1.82646e-05
ZNF503	ZNF503	    84858.3	    84858.4	2.78e-01	1.82646e-05
TNF	TNF	     7124.3	     7124.4	2.78e-01	1.82646e-05
F5	F5	     2153.3	     2153.4	2.78e-01	1.82646e-05
MRPL13	MRPL13	    28998.3	    28998.4	2.78e-01	1.82646e-05
KRTAP10-11	KRTAP10-11	   386678.3	   386678.4	2.78e-01	1.82646e-05
TMEM92	TMEM92	   162461.3	   162461.4	2.79e-01	1.82646e-05
ZNF511	ZNF511	   118472.3	   118472.4	2.79e-01	1.82646e-05
HECTD4	HECTD4	   283450.3	   283450.4	2.79e-01	1.82646e-05
C11orf49	C11orf49	    79096.3	    79096.4	2.79e-01	1.82646e-05
SERPINB6	SERPINB6	     5269.3	     5269.4	2.79e-01	1.82646e-05
SLC17A4	SLC17A4	    10050.3	    10050.4	2.79e-01	1.82646e-05
GALNT8	GALNT8	    26290.3	    26290.4	2.79e-01	1.82646e-05
STAT4	STAT4	     6775.3	     6775.4	2.79e-01	1.82646e-05
HIST1H4G	HIST1H4G	     8369.3	     8369.4	2.80e-01	1.82646e-05
CRH	CRH	     1392.3	     1392.4	2.80e-01	1.82646e-05
RBPMS	RBPMS	    11030.3	    11030.4	2.80e-01	1.82646e-05
MKI67	MKI67	     4288.3	     4288.4	2.80e-01	1.82646e-05
